項目,說明
資料來源,YouTube Data API v3，頻道 Joeman（UCPRWWKG0VkBA0Pqa4Jr5j0Q）
抓取範圍,公開影片 3513 支（API 回報 3620 支，差距 107 支含會員限定影片，無法逐支確認）
分析母體,3511 支（排除觀看數為 0 的 2 支）
時區,所有時間已轉換為台灣時間（UTC+8）
Shorts 判定,以 youtube.com/shorts/ 網址實測判定，非依時長推斷
影片類型分類,依播放清單歸屬與標題關鍵字規則分類，另設人工覆寫表
業配判定方式,關鍵字加權計分，門檻 2 分；自營商品（課程、團購、會員、自有品牌）另計
業配準確度（長片）,精確率 22/22（95% 信賴區間 85.1–100%）、召回率 76.3%（95% 信賴區間 69.1–83.6%），經 40 支純隨機抽樣人工核對
Shorts 偵測限制,召回率僅 14.6%（95% 信賴區間 10.5–21.7%）——85.7% 說明欄完全空白。經 40 支抽樣，推估真實業配率 37.9%（95% 信賴區間 25.6–52.9%），故商業分析排除 Shorts
更新時間,2026-08-24 06:11:19
