檢核編號,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,is_self_promo,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
1,這幾天脆上最火的就是我們的剪輯師建文！來跟他聊聊為何剪片可以這麼快？更多完整心得與流量觀察歡迎加入我的youtube會員頻道！,2026/7/15,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=8Nwf7kjg2DQ,否,無商業資訊,8Nwf7kjg2DQ
2,台股史詩大暴跌！給大家看之前多開心！一個月賺50%、股票漲太多都不想工作！【Joeman會員優先】,2026/6/6,財經/投資,長片,非業配,0,,TRUE,此為5/6的會員影片，結果一個月後6/6台指期暴跌3000點！給大家看看一個月前我們多開心！【Joeman會員專屬】 ⏎ 9好吃益生菌：https://reurl.cc/dpLbo8 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ https://www.youtube.com/watch?v=WhzUI_EGxLk ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.youtube.com/watch?v=R,https://www.youtube.com/watch?v=nOJYE2uLlDU,否,僅自營商品,nOJYE2uLlDU
3,在公車上隨機搭訕！讓乘客推薦美食！挑戰307從頭吃到尾！《公車食刻表》ep1,2026/6/1,美食,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=KNwqT1tgbKU,否,無商業資訊,KNwqT1tgbKU
4,最便宜的豪華電動車！為了賓士退訂特斯拉值得嗎？CLA200開箱試駕【Joeman】,2026/5/21,汽車,長片,非業配,0,,TRUE,從來沒想過「性價比」三個字竟然會拿來描述賓士，但最近大改款的 CLA 200 真的蠻香的。除了有賓士的品牌價值與全新科技感的外觀，這次不只標準配備該給的都給了，全新的 MB.OS 作業系統也蠻吸引我的，自動跟車和自動停車的表現更是相當不錯。重點是只要 187 萬起，部分選配的價格也可以接受。聽說最近很多人為了 CLA 200 退訂 Model 3，真正的特斯拉殺手真的來了嗎？ ⏎ 9是猛瑪卡能量飲 ⏎ 十倍濃縮黑瑪卡，小小一瓶直接拉滿狀態💪 ⏎ 黃精＋黑瑪卡＋鮮人蔘三盾配方， ⏎ 搭配專利吸收技術，活力撐一整天。 ⏎ ☀️ 上班有精神｜🌙 下班當戰神 ⏎ 👉 https://www.99bio.co/ ⏎ 9好吃益生菌：https://reurl.cc/dpLbo8 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube,https://www.youtube.com/watch?v=UY0hNkXcK6A,否,僅自營商品，9是猛瑪卡能量飲跟9好益生菌一樣，是Joeman的自營商品之一,UY0hNkXcK6A
5,IG跟Threads是如何讓用戶上癮的？聊聊間歇性強化跟可變獎勵在現代的實際應用！ #多巴胺,2026/3/21,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=Ygi0JsphXok,否,無商業資訊,Ygi0JsphXok
6,最便宜的全新Macbook Neo來了！台幣不到2萬塊，適合給學生用的第一台Mac，雖然處理器是手機用的A18 Pro，鍵盤也沒背光，螢幕素質也一般，但⋯便宜治百病！,2026/3/5,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=6NudKxFWJ2k,不好判定,無直接商業行為，且內容更接近短開箱，但參加的是蘋果的發表會，應是受廠商邀請，不好判斷基準,6NudKxFWJ2k
7,開車300公里只為了目睹號稱世界最浪漫的鐵道，第一只見橋！結果最高的拍攝點因為有熊出沒而被封鎖，還好還有留一個拍攝點！當列車緩緩開過伴隨著楓紅真的很美！#鐵道攝影 #福島自駕 #只見線,2025/12/24,汽車,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=DJf7gPo-hTM,否,無商業資訊,DJf7gPo-hTM
8,自駕如何拍出漂亮的風景畫面？首先你需要一台OSMO 360，然後⋯再有一台敞篷車就可以了！#全景相機 #dji,2025/12/6,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=HhQ4VH1UTU4,不好判定,無直接的商品業導流，但影片直接#廠商，推測為業配影片，但信心不足,HhQ4VH1UTU4
9,全新Airpods Pro 3開箱！非常讚的一代！就等台灣上市了～#降噪耳機 #聖誕禮物 #藍牙耳機,2025/10/3,3C開箱評測,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=9sFUCrxaYWo,否,無任何商業導流，應是單純開箱影片,9sFUCrxaYWo
10,一個1800的奢華玻璃杯！倒下酒後金光閃閃 ✨阿爾卑斯山紀念杯！#馬特宏 #matterhorn #alpine #盤子 #瑞士 #必買,2025/8/30,未分類,Shorts,非業配,0,,FALSE,,https://www.youtube.com/watch?v=_82eh6twyko,否,是單純開箱影片,_82eh6twyko
