檢核編號,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,is_self_promo,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
1,人生第一次吃螺絲粉⋯約會不能吃的食物挑戰！【Joeman】,2026/5/15,挑戰/企劃,長片,非業配,0,,TRUE,今天要來挑戰三家「約會大忌」的重口味 NG 料理，最特別的是，我還要獻出人生第一次的螺螄粉處女秀！但在大快朵頤之後，為了約會隨時保持口腔清爽，我隨身帶了 Oral-B iO9 微磁電動牙刷。它採用獨家的磁動微震技術，能把牙菌斑徹底清乾淨，齒縫間的殘渣也無所遁形；加上內建的智慧壓力感應燈，如果不小心刷得太用力會亮紅燈提醒，保護牙齦不因清潔過度而受傷！帶上Oral-B iO9 讓你每場約會都保持乾淨口氣清新！ ⏎ Oral-B iO9 微磁電動牙刷🛒https://reurl.cc/kp3jKL ⏎ 9好吃益生菌：https://reurl.cc/dpLbo8 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ https://www.youtube.c,https://www.youtube.com/watch?v=ZAwRlnGva_w,是,資訊欄推銷Oral-B iO9 微磁電動牙刷🛒https://reurl.cc/kp3jKL,ZAwRlnGva_w
2,一戶12億！陶朱隱園開箱！《Joe是要看房》 ep.61【Joeman】,2026/5/12,看房/房產,長片,非業配,0,,TRUE,如果你在網路搜索台灣第一豪宅，那第一個跳出來的就是陶朱隱園，CNN評選它為全球9大新城市地標，Discovery專門為它拍紀錄片，但許多台灣人對陶朱隱園的印象，還定格在它一戶要十幾億的高昂售價，似乎很少人去探討為何它叫陶朱隱園，也鮮有人能了解其內部設計，而今天我們將從建築理念、外觀結構到格局裝潢一探台灣第一豪宅的神秘面紗！ ⏎ 9是猛瑪卡能量飲 ⏎ 十倍濃縮黑瑪卡，小小一瓶直接拉滿狀態💪 ⏎ 黃精＋黑瑪卡＋鮮人蔘三盾配方， ⏎ 搭配專利吸收技術，活力撐一整天。 ⏎ ☀️ 上班有精神｜🌙 下班當戰神 ⏎ 👉 https://www.99bio.co/ ⏎ 9好吃益生菌：https://reurl.cc/dpLbo8 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ ht,https://www.youtube.com/watch?v=NjsYyPA8Wic,否,資訊欄無商業內容,NjsYyPA8Wic
3,IG、抖音跟Threads是如何傷害我們的？網路成癮要怎麼辦？多巴胺國度、失控的焦慮世代、社群帝國那些人心得分享【九讀】ep2【Joeman】,2026/3/20,人物/訪談,長片,非業配,0,,TRUE,你知道社群軟體是如何讓我們成癮進而傷害我們的心智的嗎？這次要來跟大家聊聊如果明知道社群軟體有害，又不得不用，那要如何與社群健康相處 ⏎ TheraBreath 凱斯博士漱口水 — 美國牙醫師研發，不含酒精、無人工色素，溫和不刺激，日常使用也很安心，還能維持12小時清新口氣~ ⏎ 去除口腔異味就靠它！Costco、屈臣氏都買得到👇 ⏎ https://www.costco.com.tw/p/187808 ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ https://www.youtube.com/watch?v=WhzUI_EGxLk ⏎ https://www.youtube.com/wat,https://www.youtube.com/watch?v=GHe8GOKV5dk,是,資訊欄推銷TheraBreath 凱斯博士漱口水，且有提供購買網址,GHe8GOKV5dk
4,別人漲價我降價！蘋果今年太殺了！Macbook Neo、iPhone 17e、Studio Display XDR、M5 Pro、M5 Max【Joeman】,2026/3/5,電競賽事,長片,非業配,0,,TRUE,我又受邀到蘋果發表會了，這次蘋果春季發表會從iPhone 17e一路到Macbook Neo都有不同的亮點，但我覺得最大的亮點就是價值竟然是越來越便宜...完全跟大環境的漲價逆著來，蘋果這波價格戰會讓PC陣營相當有壓力! ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ https://www.youtube.com/watch?v=WhzUI_EGxLk ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/w,https://www.youtube.com/watch?v=wW6ycct7SZo,否,資訊欄無商業行為,wW6ycct7SZo
5,全台最貴！一晚88萬的總統套房！自己房間就有游泳池跟溫泉！新北北海溫泉洲際酒店【Joeman】,2026/1/13,未分類,長片,非業配,0,,TRUE,台灣最貴的溫泉飯店開箱！是前陣子剛開幕的新北北海溫泉洲際酒店，自己房間就有游泳池、冷熱池跟戶外風旅！ ⏎ 時光在變，乾淨不變，INAX SATIS電腦馬桶系列，給您最貼心呵護的體驗 ⏎ 【AQUA CERAMIC潔淨陶瓷技術】 ⏎ 【DUAL NOZZLE女性專用噴嘴】 ⏎ 【SEAMLESS SEAT一體成型便座】 ⏎ 【AUTO OPEN & CLOSE 自動感應開闔】 ⏎ INAX Taiwan ⏎ https://tw.inax.com/zh-hant/ ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ https://www.youtube.com/watch?v=WhzUI_EGxLk ⏎ http,https://www.youtube.com/watch?v=oSigp7C5vlw,是,資訊欄推銷INAX SATIS電腦馬桶系列，且附上INAX Taiwan官網,oSigp7C5vlw
6,15000元的奢華無菜單燒肉對決160元的平價i人燒肉！燒肉政宗、侍燒肉、《Joe是要對決S2》Ep287 ft.丘涵【Joeman】,2025/10/20,挑戰/企劃,長片,非業配,1,新品發表用語,TRUE,"一年一度的燒肉對決又來啦！ 每次工作壓力一大，燒肉總是能撫慰我的心靈。這次終於來到一年前就想拍的「無菜單燒肉」，沒錯，燒肉也能 Omakase，你敢信？ 平價則是我最愛的「個人燒肉」，超級 i 人友善，完全是個人專屬的放鬆時光。 雖然中秋節才剛過，但那股烤肉魂還沒散去吧？今晚一起邊吃邊看這場燒肉對決吧 ⏎ Logitech旗艦鼠王Master4全新登場，與 Adobe 完美搭配! https://bit.ly/4mKBOiH ⏎ 新品價 $4,190，買就送一個月 Adobe Creative Cloud 軟體授權(價值$2,310) ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 直男改造系列： ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DRY ⏎ h",https://www.youtube.com/watch?v=qBRc7m3VmFU,是,資訊欄推銷 Logitech旗艦鼠王Master4，並附上網址 https://bit.ly/4mKBOiH,qBRc7m3VmFU
7,我做過哪些醫美？多年整形心得大公開！鳳凰電波、雙音波、肉毒、皮秒雷射、玻尿酸、消脂針【Joeman】,2025/10/7,未分類,長片,非業配,0,,TRUE,男生要做哪些醫美？超真實心得分享！【Joeman】 ⏎ 感謝甯寓美學診所的鄭黃中宇院長的細心調整！ ⏎ 大家如果也想去的話記得先預約，他們是全預約制的！ ⏎ line線上預約: https://lin.ee/WnnclPy ⏎ 診所資訊： ⏎ https://maps.app.goo.gl/UUTW9qee6BPBbLUG8?g_st=ipc ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.youtube.com/w,https://www.youtube.com/watch?v=CnoGML_LIbk,是,資訊欄推銷甯寓美學診所，且有line線上預約: https://lin.ee/WnnclPy跟診所資訊：https://maps.app.goo.gl/UUTW9qee6BPBb...,CnoGML_LIbk
8,台灣首發！iPhone17 Pro 萬字解析開箱實測！【Joeman】,2025/9/17,挑戰/企劃,長片,非業配,0,,TRUE,一年一度的iPhone開箱又來了！一起來看看這次硬體大改的iPhone 17 Pro Max到底能不能打吧？ ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.youtube.com/watch?v=Rfp-GvT5Bwk ⏎ https://www.youtube.com/watch?v=0ULS8rJk9cM ⏎ https://youtu.be/B3R7jjU_ER4 ⏎ https://youtu.be,https://www.youtube.com/watch?v=pby-8b_K1XA,是,影片時間早於上市時間，應是從廠商拿到樣機,pby-8b_K1XA
9,蘋果總部現場直擊！ iPhone 17、Air、Pro上手心得！【Joeman】,2025/9/10,3C開箱評測,長片,非業配,0,,TRUE,一年一度的蘋果爆肝周又來了，記得訂閱我看更多影片 ! ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 每個月100元即可看頻道專屬影片！https://reurl.cc/NyXGWe ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.youtube.com/watch?v=Rfp-GvT5Bwk ⏎ https://www.youtube.com/watch?v=0ULS8rJk9cM ⏎ https://youtu.be/B3R7jjU_ER4 ⏎ https://youtu.be/MbIJ1gxbjGM ⏎ https://youtu.b,https://www.youtube.com/watch?v=LEHtf4LnXmg,是,影片維參加蘋果發表會的心得內容，且有借到樣機,LEHtf4LnXmg
10,奢華手搖對決！一杯400！人均破百的飲料到底好不好喝？machi machi、Odd One Out Tea 、無印良品 、儒記、花茶大師《Joe是要對決S2》Ep280 ft.小葵【Joeman】,2025/9/1,挑戰/企劃,長片,非業配,0,,TRUE,手搖飲料，是台灣人的靈魂，也是觀光客來訪必喝的美食代表。 ⏎ 本集《Joe是要對決》，我們要挑戰 手搖的極限！ ⏎ 一次帶你直擊五家單杯破百，甚至逼近 400 元的頂級華麗手搖！ ⏎ 到底它們憑什麼身價不凡？真的有人狠得下心天天喝？ ⏎ 還有連「手搖天尊」小葵都讚不絕口的傳說級飲料！ ⏎ 本集，絕對刷新你對手搖的想像！ ⏎ 最專業的健康行銷團隊！ ⏎ 最多位、最多科別的「專約」白袍經紀團隊 ⏎ 好食課YouTube頻道：https://youtube.com/@learneating?si=E3dEv4CqTtED7Y4y ⏎ 好食課IG:https://www.instagram.com/learneating?igsh=MTc3YzhuN2R4d2JpZA== ⏎ 歡迎加入好食課Line＠，專家給你最正確的健康知識！ ⏎ https://lin.ee/Veb1HCz ⏎ 每個月100元即可看頻道專屬影片！https://reurl.,https://www.youtube.com/watch?v=6Np0Y9niE7g,是,資訊欄推銷好食課YouTube、IG、Line＠,6Np0Y9niE7g
