檢核編號,分組,title,published_date,category,video_format,目前判定,sponsor_score,sponsor_hits,說明欄摘要,url,實際是否業配_請填寫,備註_請填寫,video_id
1,A_判定業配,手機影像之王！演唱會神機vivo X300 Ultra！【Joeman】,2026/4/16,3C開箱評測,長片,業配,3,購買行動用語|品牌官方導流,台灣終於也引進了vivo最強影像旗艦X300 Ultra，真的是演唱會神器啊，再加上新的G2 Ultra增距鏡，在望遠這一塊，完全就是無人能敵！ ⏎ 4月16日起至4月29日vivo X300 Ultra於指定通路正式開放預購，詳情及優惠請洽vivo官網：https://www.vivo.com/tw/products/x300-ultra ⏎ 9好吃益生菌：https://reurl.cc/dpLbo8 ⏎ 直男改造系列： ⏎ 醫美：https://www.youtube.com/watch?v=CnoGML_LIbk ⏎ 穿搭：https://www.youtube.com/watch?v=FQEJ57GG2CI ⏎ 髮量：https://www.youtube.com/watch?v=KJknopvpsT4 ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=Yt7dmPq3DR,https://www.youtube.com/watch?v=9VcAFieFARI,是,有導流至該產品官網並宣傳發售，判斷為廠商業配,9VcAFieFARI
2,A_判定業配,信義區老屋翻新不到50萬？包租代管好賺嗎？《Joe是要看房》 ep.62【Joeman】,2026/5/22,看房/房產,長片,業配,7,影片合作聲明|折扣導購用語|購買行動用語,今天要開箱的房子雖然在信義區，但租金相當平易近人，是一個40幾坪的老屋翻新，從原本的3房變成5房！租金投報率非常好，但老屋翻新真的有想像中好賺嗎？這次我們特地邀請到從事代管事業十幾年的婕絲陪我們聊聊！ ⏎ 【租金獲利攻略｜開啟第二副業，下班收租】 ⏎ → 實體陪跑班｜報名免費體驗課：https://hi.sat.cool/owxjP ⏎ → 純線上課版｜直接預購：https://hi.sat.cool/UhPhX ⏎ （輸入「joeman600」再折600元） ⏎ 🏆台中市租賃公會副理事長 Jess 老師，10小時線上課、3個月陪跑，帶你簽下第一間房源！ ⏎ ⭐ 現在買，獨家贈送！ ⏎ » 7位領域專家直播課程 ⏎ » 30+ 私藏工具表單：實體手冊寄到家 ⏎ » JGB 科技管房服務：免費 6 個月 ⏎ » 租客黑名單查詢系統：免費 6 個月 ⏎ » 獨家精算獲利模型 ⏎ » 獨家節稅模型 ⏎ » VIP學生群組＋房市週報 ⏎ » 雙週直播！,https://www.youtube.com/watch?v=-8Jqg3cymSs,是,包含報名體驗課、預購與及折扣碼等元素,-8Jqg3cymSs
3,A_判定業配,全世界最大間的鼎泰豐！裝潢超美但價格是台灣的三倍？小籠包要600塊！美國紐約鼎泰豐開箱！【Joeman】,2024/8/3,3C開箱評測,長片,業配,6,專屬導購連結|購買行動用語|新品發表用語,全世界最大間的鼎泰豐！裝潢超滿但價格是台灣的三倍！紐約鼎泰豐開箱！ ⏎ Lojel新色限量團購中:https://gbf.tw/uhyqe ⏎ (即日起到8/8號！記得要加入購物車才是獨家優惠價！）,https://www.youtube.com/watch?v=pvvY3g3RsDs,是,下方有開團購連結,pvvY3g3RsDs
4,A_判定業配,BTS、Blackpink也來過！46萬的頂級韓牛烤肉對決只要2萬的平價韓國烤肉吃到飽！會比日本和牛好吃嗎？《Joe是要對決S2》Ep260 ft.Mira【Joeman】,2025/4/14,挑戰/企劃,長片,業配,10,專屬導購代碼|專屬導購連結|折扣導購用語|行動呼籲句型,現在使用我的專屬連結：https://surfshark.com/joeman ⏎ 輸入折扣碼「joeman」，訂閱兩年方案再送四個月額外使用期限！ ⏎ 韓牛對我來說，是遠比和牛更神秘的存在！幾乎不出口的特性，讓想體驗的人必須親自飛一趟才能享用。一直很好奇它的味道和價位！今天我們來到了烤肉大國-韓國。一次體驗最道地的烤豬五花吃到飽，以及Blackpink、BTS都曾光顧的頂級韓牛餐廳！跟我一起揭開韓牛的神秘面紗。,https://www.youtube.com/watch?v=9CVOQA8yMZM,是,有提供折廠商提供的專屬扣碼,9CVOQA8yMZM
5,A_判定業配,最老牛排館對決！開業91年的牛排套餐對決開業79年的牛排吃到飽！台灣早期有錢人都在這吃！沾美西餐廳、波麗路西餐廳《Joe是要對決S2》Ep273 ft.泡芙【Joeman】,2025/7/14,挑戰/企劃,長片,業配,10,專屬導購代碼|專屬導購連結|折扣導購用語|行動呼籲句型,現在使用我的專屬連結：https://surfshark.com/joeman ⏎ 輸入折扣碼「joeman」，送四個月額外使用期限！ ⏎ 上次的百年老店對決大獲好評，這次決定再接再厲，直奔全台最老的牛排館！畢竟牛排可是我們節目的招牌單元之一，這回要來點真正有歷史、有故事的。沒想到居然找到了開業近百年的西餐廳，不只歷史悠久，甚至是瓊瑤劇經常取景的經典場景！早年有錢人相親、約會的首選餐廳，說它是老派浪漫的代名詞一點也不為過。除此之外，還挖出全台第一家自助餐Buffet！連來賓都讚不絕口，美味到想每週報到！準備好跟一起穿越時光了嗎？一起看起來吧！ ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=t,https://www.youtube.com/watch?v=u0nFfjgn694,是,有提供折廠商提供的專屬扣碼,u0nFfjgn694
6,A_判定業配,全員爆肝200小時的加班地獄！今年iPhone週我們有多操？【Joeman】,2025/9/24,3C開箱評測,長片,業配,6,專屬導購代碼|折扣導購用語|品牌官方導流,iPhone週200小時爆肝全記錄！我們是如何在一個禮拜內做出7隻長片8隻短片！這種行程真的一年一次就好了⋯好累喔⋯還好我有simppo抗藍光螢幕保護貼！ ⏎ Simmpo 官網輸入折扣碼【joeman也護眼】即享優惠！ ⏎ 想買 iPhone 17 系列抗藍光護眼保護貼 ⏎ 請往這邊走 ：https://hellosimmpo.pse.is/eyejoeman ⏎ 9好吃益生菌：https://reurl.cc/DODpy6 ⏎ 會員專屬影片： ⏎ https://www.youtube.com/watch?v=bhI4MJBMNZE ⏎ https://www.youtube.com/watch?v=_qBHmgcZL6Y ⏎ https://www.youtube.com/watch?v=tsgjSTKPUEc ⏎ https://www.youtube.com/watch?v=Rfp-GvT5Bwk ⏎ https://,https://www.youtube.com/watch?v=6UyF4TSv8tI,是,有提供折廠商提供的專屬扣碼,6UyF4TSv8tI
7,A_判定業配,真假NIKE對決！看不出來就直接切開！價差80倍潮鞋！ft.王思佳、小馬、大隻《Joe是要切開》ep.1【Joeman】,2024/5/3,挑戰/企劃,長片,業配,5,專屬導購連結|折扣導購用語,全新真假貨對決節目【Joe是要切開】來啦！試播集要切的是現在年輕人最夯的潮鞋！我本身雖然有在買鞋，但說實在的，真的算不上專家，今天讓我來看，分辨出真假貨的機率微乎其微，但沒關係，我們不只切開來看，也邀請到各路大神王思佳、小馬、Area02的大支一起探討真假鞋的差異。到底真的有差嗎？還是就如謠傳的，其實都是同一家工廠流出呢？看下去就知道。 ⏎ zZsleeper 忘憂枕 Joeman52折專屬優惠 ：https://s.add.one/5vz5uv ⏎ （品牌限定優惠，請使用 Fb、Line、手機號碼 登入，即可看到專屬優惠價）,https://www.youtube.com/watch?v=wnXFd-VhipI,是,有提供折廠商提供的專屬扣碼,wnXFd-VhipI
8,A_判定業配,675元的奢華冰淇淋對決18元的平價冰淇淋！麥當勞、瑰季 Gem Season、二吉軒豆乳、克雷米爾、双聖 SWENSEN'S《Joe是要對決S2》Ep176 ft.Sandy【Joeman】,2023/9/4,挑戰/企劃,長片,業配,8,影片合作聲明|折扣導購用語|購買行動用語|新品發表用語,夏天就要吃冰淇淋！這次特地邀請到超愛霜淇淋的sandy陪我們一口氣吃了5家，雖然很肥但也很爽的一集！ ⏎ 石頭Dyad Pro Combo 無線三刷乾濕洗地吸塵器 ⏎ 8/23-9/18 新品開賣限時優惠現折$1000 ⏎ https://roborocktw.vip/dyadcombo-K ⏎ Q5 Pro+最好入手的掃拖機器人 ⏎ 9/13 0:00 MOMO獨家開賣 ⏎ 段落By peter,https://www.youtube.com/watch?v=z8zd7ophZi8,是,有直接商品導流，且宣傳優惠,z8zd7ophZi8
9,A_判定業配,【Joeman】一隻4136元的奢華龍蝦對決350元的平價龍蝦《Joe是要對決S2》Ep142 ft.小葵@XiaoKui,2023/1/9,挑戰/企劃,長片,業配,14,致謝贊助句型|影片合作聲明|直接提及贊助方|折扣導購用語|行動呼籲句型|提及廠商,本節目最常出現的食材就是和牛、龍蝦跟松露，而今天就要為各位帶來龍蝦對決，原本想說一隻龍蝦大概就是一兩千元，沒想到便宜的不到500元，貴的超過4000元...太扯了～ ⏎ 感謝本集的贊助廠商surfshark，現在購買有超低17折優惠跟3個月試用! ⏎ 快去看看：https://surfshark.deals/joeman,https://www.youtube.com/watch?v=BW8C6X4ee9w,是,有直接提及贊助商名，且有宣傳優惠活動,BW8C6X4ee9w
10,A_判定業配,【Joeman】員工旅遊！全公司去懶人露營！,2023/5/5,旅遊/航空,長片,業配,3,直接提及贊助方,我們又要去員工旅遊了！這一次要帶大家去露營～有人幫忙搭好帳篷跟有冷氣的露營真的好爽阿～但露營的烤肉跟各種活動難免讓臉部出油，此時要怎麼清潔就很關鍵了，沒想到竟然可以接到洗面露的業配，我第一次使用婕洛妮絲的81酵素去黑頭潔顏露，用起來非常清爽，不會有過多的泡沫，洗完也不會太乾澀，而且洗完整個臉真的變得更加光亮，只要使用兩周後更能有感的消除鼻頭粉刺，無論居家或旅遊都超適合的，大推！ ⏎ 81酵素去黑頭潔顏露：https://jsshop.tw/gbY4A,https://www.youtube.com/watch?v=KYpEKIBw3Ls,是,有直接商品導流,KYpEKIBw3Ls
