檢查項目,結果,筆數,處理方式
影片主鍵 video_id 唯一性,通過,0,無重複
影片主鍵不可為空,通過,0,無缺失
發布日期可解析,通過,0,全部可解析為日期型別
按讚數／留言數缺值,保留,5,空值代表關閉功能，不補 0（補 0 會製造假資料）
發布時段 0–23,通過,0,全部在值域內
觀看數為非負整數,通過,0,觀看數為 0 的影片已於 transform 階段排除
影片長度非負,通過,0,—
影片格式僅長片／Shorts,通過,0,無其他值
每日快照複合主鍵（日期＋影片）唯一性,通過,0,無重複
rules/format_audit.csv 涵蓋所有影片格式,通過,0,長片與 Shorts 都有抽樣常數
事實表外鍵 格式鍵 參照完整性,通過,0,每一列都對得到維度成員
事實表外鍵 類型鍵 參照完整性,通過,0,每一列都對得到維度成員
事實表外鍵 系列鍵 參照完整性,通過,0,每一列都對得到維度成員
事實表外鍵 業配判定鍵 參照完整性,通過,0,每一列都對得到維度成員
每日快照參照完整性（影片存在於影片維度）,通過,0,每一列都對得到影片
發布日期都落在日期維度範圍內,通過,0,日曆已涵蓋全部事實日期
