系列鍵,系列名稱,有系列,系列世代,系列首播日,系列長片集數_全期,系列世代判準
0,（無系列）,False,無系列,,0,沒有系列歸屬
1,神秘客挑戰賽,True,既有系列,2011-05-08,26,首播 2011-05-08，早於《對決》停播日 2025-11-10
2,Joeman脫口秀,True,既有系列,2013-03-18,20,首播 2013-03-18，早於《對決》停播日 2025-11-10
3,Joeman Vlog,True,既有系列,2015-08-30,8,首播 2015-08-30，早於《對決》停播日 2025-11-10
4,Joeman開箱去,True,既有系列,2016-05-16,333,首播 2016-05-16，早於《對決》停播日 2025-11-10
5,Joeman出來玩,True,既有系列,2016-06-13,17,首播 2016-06-13，早於《對決》停播日 2025-11-10
6,九件事,True,既有系列,2016-08-12,46,首播 2016-08-12，早於《對決》停播日 2025-11-10
7,帶你去吃各地美食,True,既有系列,2017-05-07,24,首播 2017-05-07，早於《對決》停播日 2025-11-10
8,一起轉蛋去,True,既有系列,2017-06-04,13,首播 2017-06-04，早於《對決》停播日 2025-11-10
9,全世界的網咖體驗,True,既有系列,2017-06-25,5,首播 2017-06-25，早於《對決》停播日 2025-11-10
10,飛機餐與貴賓室,True,既有系列,2017-06-29,18,首播 2017-06-29，早於《對決》停播日 2025-11-10
11,百元販賣機,True,既有系列,2017-07-07,3,首播 2017-07-07，早於《對決》停播日 2025-11-10
12,一起打槍去,True,既有系列,2017-07-21,5,首播 2017-07-21，早於《對決》停播日 2025-11-10
13,網紅觀察室,True,既有系列,2017-10-09,43,首播 2017-10-09，早於《對決》停播日 2025-11-10
14,Joeman夾娃娃,True,既有系列,2017-10-23,6,首播 2017-10-23，早於《對決》停播日 2025-11-10
15,Joe是要對決,True,既有系列,2018-04-21,307,首播 2018-04-21，早於《對決》停播日 2025-11-10
16,Joeman Show,True,既有系列,2018-12-01,52,首播 2018-12-01，早於《對決》停播日 2025-11-10
17,Joe是要收藏,True,既有系列,2019-03-06,27,首播 2019-03-06，早於《對決》停播日 2025-11-10
18,Joe是要看房,True,既有系列,2020-04-21,89,首播 2020-04-21，早於《對決》停播日 2025-11-10
19,加密貨幣三部曲,True,既有系列,2021-12-10,3,首播 2021-12-10，早於《對決》停播日 2025-11-10
20,第九人稱,True,既有系列,2022-06-03,4,首播 2022-06-03，早於《對決》停播日 2025-11-10
21,愛吃大胃王爭霸戰,True,既有系列,2024-04-19,2,首播 2024-04-19，早於《對決》停播日 2025-11-10
22,Joe是要切開,True,既有系列,2024-05-03,2,首播 2024-05-03，早於《對決》停播日 2025-11-10
23,Joe是要闖關,True,既有系列,2024-06-19,2,首播 2024-06-19，早於《對決》停播日 2025-11-10
24,靈能的挑戰,True,既有系列,2024-08-04,26,首播 2024-08-04，早於《對決》停播日 2025-11-10
25,工作室日常廢片,True,既有系列,2025-08-27,7,首播 2025-08-27，早於《對決》停播日 2025-11-10
26,我獨自穿越日本,True,新系列,2025-11-19,10,首播 2025-11-19，晚於《對決》停播日 2025-11-10 9 天
27,九讀,True,新系列,2026-01-28,3,首播 2026-01-28，晚於《對決》停播日 2025-11-10 79 天
28,Joe是要跟團,True,新系列,2026-05-26,3,首播 2026-05-26，晚於《對決》停播日 2025-11-10 197 天
29,公車食刻表,True,新系列,2026-05-29,4,首播 2026-05-29，晚於《對決》停播日 2025-11-10 200 天
