playlist_id,playlist_title,item_count,series_name,category
PLcCTPbs8iOoGEJUNwS0BtuBvL0WnVen_M,【Joeman開箱去】,337,Joeman開箱去,3C開箱評測
PLcCTPbs8iOoGa-Vb-mooddqfO4k-of4EV,【Joe是要對決】第二季,241,Joe是要對決,挑戰/企劃
PLcCTPbs8iOoHj5SbqD5vbLL6iptiwA0uU,《人中之龍0 誓約的場所》,63,,遊戲實況
PLcCTPbs8iOoEz2CwEREvPUOMxfSYD0QRz,【Joeman Show】,47,Joeman Show,人物/訪談
PLcCTPbs8iOoHM9OGquPvHStQJgdwmO2ZP,Joeman網紅觀察室,36,網紅觀察室,人物/訪談
PLcCTPbs8iOoE08qUCr18dWGbd5YCned30,刀塔傳奇,36,,遊戲實況
PLcCTPbs8iOoGbuo7SeywCxFbcj2_M6e14,《GTAV 俠盜獵車手5》,35,,遊戲實況
PLcCTPbs8iOoFBLo5Xu3wG_OVfm0Vt_JH5,《俠客風雲傳》,34,,遊戲實況
PLcCTPbs8iOoEZh1Z9xvvQPrB3bCrcPQvc,【Joeman九件事】網路人物誌,30,九件事,人物/訪談
PLcCTPbs8iOoGbMRs6Q3gBYXKJOfcwy_-s,《人中之龍 極》實況影片,29,,遊戲實況
PLcCTPbs8iOoHAHRQa1rYCkK7_bX_Y4VpP,Joeman帶你去吃各地美食,27,帶你去吃各地美食,美食
PLcCTPbs8iOoF40clrJQxMMpVPHKowJzAF,靈能的挑戰,25,靈能的挑戰,挑戰/企劃
PLcCTPbs8iOoH-QZB5enXCvnTJPzDduWv0,《進化之地2》Evoland2,22,,遊戲實況
PLcCTPbs8iOoF4w7vHvrI7fLV_HnWbEq5Q,《潛龍諜影5:幻痛》Metal Gear Solid V : The Phantom Pain,22,,遊戲實況
PLcCTPbs8iOoGkOojE5u2dXozcRPcPvPVr,Joe是要收藏,20,Joe是要收藏,玩具/收藏
PLcCTPbs8iOoEiLXAcksB-KerZny6Xpe1N,【Joeman出來玩】,20,Joeman出來玩,日常Vlog
PLcCTPbs8iOoE2hkPCC-qvxWicpkwQ9zBv,Joeman脫口秀,20,Joeman脫口秀,人物/訪談
PLcCTPbs8iOoFP_HnWIzgfvrEaRUYymDtq,《Joe是要看房》,19,Joe是要看房,看房/房產
PLcCTPbs8iOoG7dUpqnr0lJNSRlX6MUuar,Joe是要看房-日本篇,19,Joe是要看房,看房/房產
PLcCTPbs8iOoG_CM-x2wAvX_EkP8VyaHwy,【Joeman】飛機餐與貴賓室,19,飛機餐與貴賓室,旅遊/航空
PLcCTPbs8iOoEolVdhiPf_z_6So_31DnpJ,《Starcraft2 SPL2015》 Round 2,19,,電競賽事
PLcCTPbs8iOoGhGlNt2dVwjMDtx2s3rm1Y,《Dying Light 垂死之光 》實況,19,,遊戲實況
PLcCTPbs8iOoFdwrXQEzi1tvUCEBXRCPxa,刀塔冷知識,18,,遊戲實況
PLcCTPbs8iOoFSo97FvMsCaiaPyfSvdmSD,【Joe是要對決】第一季,17,Joe是要對決,挑戰/企劃
PLcCTPbs8iOoGgvKR2-6BxfvKC-A6weiOh,Life is Strange《奇妙人生》,17,,遊戲實況
PLcCTPbs8iOoGk8lxBHjOOdPmZVlOly9Bp,《仙劍奇俠傳6》,17,,遊戲實況
PLcCTPbs8iOoEpAxBKSaqAHA14w84CtrY7,Dead Space 《絕命異次元》,17,,遊戲實況
PLcCTPbs8iOoH05lht1wFpedTaYnkP8S0Y,《超能殺機：兩個靈魂》Beyond : Two Souls,16,,遊戲實況
PLcCTPbs8iOoE8shzn06DGbpujWlofRxPc,【Joeman一起轉蛋去】,15,一起轉蛋去,玩具/收藏
PLcCTPbs8iOoEr5cxQMthdm8TAnKvqSW-_,【Joeman九件事】第二季精華,15,九件事,人物/訪談
PLcCTPbs8iOoFa_eno0CfxmYK1giqlpaGE,《刺客教條 梟雄》Assassin's Creed Syndicate,15,,遊戲實況
PLcCTPbs8iOoFD88tqsF2RG8XAymNCskuc,Champion of New Maelstrom盃,15,,電競賽事
PLcCTPbs8iOoE7hj-FPudiXGI5n409sbyQ,《暴雪英霸》日常,15,,遊戲實況
PLcCTPbs8iOoED1ohdzi_eKv0We0X8OHwy,刀塔傳奇 團副研究院,13,,遊戲實況
PLcCTPbs8iOoHJrA-2rwMySVJxW8j5rb6R,Joe是要看房-美國篇,12,Joe是要看房,看房/房產
PLcCTPbs8iOoGjHb0jhhPFkbCjXeuodotA,開箱精華版,12,Joeman開箱去,3C開箱評測
PLcCTPbs8iOoEt2GmRRmOL8MoPI_JoJw7p,《人中之龍》劇情電影,12,,遊戲實況
PLcCTPbs8iOoFZHfbzZivldG-3Dw-c0e_N,《古墓奇兵 崛起》Rise of the Tomb Raider,12,,遊戲實況
PLcCTPbs8iOoGmIZVQpWxeaBNMSDRM6MzE,《秘境探險2 : 盜亦有道》Uncharted 2 Among Thieves,12,,遊戲實況
PLcCTPbs8iOoHOrDRGuexozEYPQDwWfHUa,《最後生還者》The Last of Us,12,,遊戲實況
